date,news_gdp,log_rgov_pc,log_rgdp_pc,log_tfp,tbill,def_gdp,debt_gdp
1890-01-01,0.0,-8.48982530958931,-5.3775025897235444,0.533979958332966,4.24727269431433,0.8416343794692098,8.122038914990624
1890-04-01,0.09747046297559263,-8.361955033303346,-5.367321091274523,0.5400471322698763,4.03843452284477,0.7440010947214034,7.814325373744018
1890-07-01,0.0,-8.254742040430024,-5.3571436881351095,0.5432786286095023,4.39725263893484,0.41183710470324425,7.330389273658281
1890-10-01,0.0,-8.254617600563957,-5.3391016613338795,0.5472884470949044,5.45249811143806,0.4121988805629013,6.976309482697671
1891-01-01,0.0,-8.304855563720038,-5.345935189775593,0.5374241250588846,4.30607037437881,0.3595411269543046,6.808374062859525
1891-04-01,0.0,-8.173658794409157,-5.340956896375597,0.5322867538469961,4.2708051516221905,-0.17376298429418097,6.5549751877722375
1891-07-01,0.0,-8.452324138981043,-5.280131301858722,0.5511412023392469,4.61488847079429,0.3913276583590485,6.147811130918715
1891-10-01,0.0,-8.31233993480725,-5.277589556854763,0.5443865273603012,4.126654149916511,0.1280443618528216,6.041657261351217
1892-01-01,0.0,-8.275266541115865,-5.290502651877217,0.5304592709714326,3.0554576357382497,0.12844121068950293,6.11365449206985
1892-04-01,0.0,-8.199377579388159,-5.3164376723794255,0.5194842953312571,2.39282351709933,-0.12436049652276666,6.290390218295667
1892-07-01,0.0,-8.321693520228255,-5.328381587709345,0.5232745548141963,3.14665253362873,0.21202715692523816,6.138671259924137
1892-10-01,0.0,-8.308920019425768,-5.318508259418424,0.5452945520027743,4.22374573164159,0.19280094909990148,5.907310817303163
1893-01-01,0.0,-8.23401353941243,-5.306754069047798,0.5767653131933257,4.538212521621951,0.005462812410989479,5.662231066126692
1893-04-01,0.0,-8.237804693596793,-5.315344048061981,0.5935529867606242,5.72543265294794,-0.021265807631214554,5.892787411519856
1893-07-01,0.0,-8.269789521882155,-5.408624092026806,0.5675606401177369,8.32243338118327,-0.2960505735731297,6.778795252166051
1893-10-01,0.0,-8.28457350945462,-5.456091478236168,0.5555231582686053,3.67919551470711,-0.29177701692859775,7.094505695999961
1894-01-01,0.0,-8.253557586453425,-5.468401415875687,0.5529948050574056,2.46057968740346,-0.38303175000970824,7.455461387541201
1894-04-01,0.0,-8.208670415747461,-5.47826515928948,0.5516554797541431,2.20428729993084,-0.33460826169177865,7.715877278347499
1894-07-01,0.0,-8.218304587474075,-5.444641943827078,0.5691435099390598,2.32507747826294,0.2080177967721049,7.407841632925381
1894-10-01,0.0,-8.226226192724983,-5.396403600442858,0.5926628466243911,2.05401786205372,-0.49318931551378814,7.284307353284476
1895-01-01,0.0,-8.185193083895404,-5.366299519124574,0.6084165684207956,2.70207538767668,-0.08342546707637004,7.402201488043393
1895-04-01,0.0,-8.206814817814589,-5.339795409618612,0.6181230065672148,2.32790932089794,-0.0927648955325548,7.098857252218591
1895-07-01,0.0,-8.20435718610864,-5.299999931450803,0.6290884337876412,2.64608960567586,0.039221356366155403,7.031496757933004
1895-10-01,0.0,-8.212412995089828,-5.278768298530596,0.627393028582478,3.5941112298500797,0.049276425858529135,7.063613462335456
1896-01-01,0.0,-8.215293114345684,-5.323294836364991,0.5925685380324877,4.58545043614975,0.004740486665278175,7.5621152851579145
1896-04-01,0.0,-8.230695326464891,-5.339037220763036,0.578979674099958,3.70884766067677,-0.1219150406381719,7.883032549242504
1896-07-01,0.0,-8.143771141470877,-5.362245005031911,0.5709515397473774,5.79862126674481,-0.3344488273135992,8.206073178680507
1896-10-01,0.0,-8.167848772326364,-5.383911760419602,0.5725175502100195,4.7019053796847805,-0.2310342116802729,8.109354178153142
1897-01-01,0.0,-8.133792934429627,-5.340848146637,0.610965386794351,2.4105058578956,-0.018003615289158253,7.9177295165242105
1897-04-01,0.0,-8.128729448465263,-5.330854500030638,0.62734496145074,2.56956371209773,0.46333782091015285,7.934151361427342
1897-07-01,0.0,-8.106384610139804,-5.296547244870661,0.6465720097061236,2.87583260140151,-0.3820359347190488,7.416252364809594
1897-10-01,0.0,-8.173083916636813,-5.286484374849311,0.6474323565244879,2.8080850287735397,0.8271075102290653,7.164562752050351
1898-01-01,0.0,-8.213802738847416,-5.289360061107653,0.6349945494178044,2.81680866930583,0.07001059139028952,7.132983007214371
1898-04-01,1.1755413620668747,-7.913297765481291,-5.303171948866677,0.6222847060182146,3.58791179889838,-0.9961302393882281,7.245701926492026
1898-07-01,-0.3049967343676111,-7.825075459976915,-5.312485956643884,0.616042351103198,2.931791080431,-0.8560837438205416,7.850762341054805
1898-10-01,0.0,-7.929871481539169,-5.3025082147026135,0.6227313170724649,2.4399626148397298,-0.46293178291254805,8.194471487497339
1899-01-01,0.5941059738988658,-7.876216800050343,-5.238481618740847,0.6574303812840165,2.46053296964091,-0.06132630891704348,7.891324693778456
1899-04-01,0.0,-7.871002052702192,-5.235036289767646,0.6620023175153393,2.69326808020116,-0.12383444151288342,7.919707715962052
1899-07-01,0.0,-7.993693186978304,-5.215437519694228,0.6699400377474922,3.38508778882974,0.22530721236922693,7.473896320077101
1899-10-01,0.0,-7.996074842677388,-5.206211743176022,0.669773977159535,4.426663938114849,0.20031092199127618,6.938733816130512
1900-01-01,0.45726582098705815,-8.05989088080716,-5.2195134159490015,0.6560393870196246,3.7559701229510702,0.4994145520731074,6.679947422964061
1900-04-01,0.0,-7.976192654547883,-5.217241146145771,0.6515526153081562,2.99656138745601,0.3371087540674379,6.4997273000772235
