date,pdvmily,rgdppc,govpc,tbill,totdefgdp,feddebtgdp,tfp_adj
1942-10-01,0.0,-4.23981596047346,-5.02405847296101,0.38,-28.3265647983467,51.0351763423214,1.90141830925234
1943-01-01,14.189819875218301,-4.22154397896749,-4.94210251258849,0.38,-26.5514180978553,58.005244232649,1.83677590610222
1943-04-01,0.0,-4.20171180418538,-4.9263996810737,0.38,-26.4286353356826,63.378129420067395,1.81783576086716
1943-07-01,0.0,-4.17882517413111,-4.91645526834715,0.38,-23.0058513740852,69.2769865667128,1.83605570297342
1943-10-01,0.0,-4.15165227087432,-4.88033033224497,0.38,-24.006761274553,73.6236786220191,1.8756526046984
1944-01-01,0.0,-4.1357602748007,-4.85071652754078,0.38,-26.3576905921939,78.43608304063841,1.94292718756284
1944-04-01,-19.2697905350659,-4.12893412601496,-4.84770389248625,0.38,-26.138839056225198,83.0983253848124,2.00001496234268
1944-07-01,0.0,-4.1186466353833,-4.85232211182301,0.38,-25.7940823040473,87.5418017155011,2.04221307115537
1944-10-01,10.6806826290954,-4.11026729202986,-4.84464923965527,0.38,-25.926069493344002,92.6167538607504,2.06464932129785
1945-01-01,0.0,-4.09208921598904,-4.84667517661105,0.38,-24.1385204881918,95.8915186651448,2.09106807943534
1945-04-01,0.0,-4.09077920822498,-4.85213916847641,0.38,-24.0195184868271,98.706348710035,2.1026692364361
1945-07-01,-21.416725468332302,-4.15823088506899,-5.02533096372756,0.38,-20.1740949864284,106.328131047778,2.09014833394353
1945-10-01,0.0,-4.24221942378849,-5.35990850118758,0.38,-12.7717125848256,115.184399141071,2.07737748204234
1946-01-01,0.0,-4.25931279201125,-5.76086095766469,0.38,-5.51939279066734,114.751247211983,2.07640693583012
1946-04-01,0.0,-4.24531995343225,-5.92279437292884,0.38,-0.777898697352971,108.676316968976,2.08376120213624
1946-07-01,1.6005044301209501,-4.28745717615375,-6.03095395375669,0.38,1.7776315660583402,101.62993586943901,2.04594153076502
1946-10-01,0.0,-4.32374213268624,-6.04720501835786,0.38,2.87171999711533,97.2782334549438,2.02915237316716
1947-01-01,0.0,-4.30289487774282,-6.10494728556353,0.38,4.52508660707237,94.08490140268219,2.03519202904679
1947-04-01,3.10112114663843,-4.30880680346514,-6.11889046857345,0.38,3.979345408577,91.07829247164419,2.04630640418175
1947-07-01,0.0,-4.31445982327701,-6.15248961787903,0.73667,2.6788327396700997,88.4263763573679,2.04845060102584
1947-10-01,0.0,-4.30316318838638,-6.17612827346346,0.9066700000000001,4.6100204664932,84.1324125114542,2.04746152563532
1948-01-01,0.6628487353326029,-4.29289221236206,-6.15860871337695,0.9900000000000001,3.90720089799499,81.701411669806,2.06033073766865
1948-04-01,1.26569328305588,-4.28103021892284,-6.12659741672545,1.0,2.7116580152523597,79.2610094833874,2.06841859875169
1948-07-01,0.0,-4.27976042422796,-6.11056890288096,1.05,1.14488556664827,76.9913478591885,2.06233354447085
1948-10-01,0.0,-4.28307191155383,-6.07428820266057,1.1400000000000001,0.391950020352398,76.3782634855807,2.04520849857355
1949-01-01,0.0,-4.30114999470598,-6.03153088117597,1.17,-1.12576235268505,77.7100090596692,2.04089754850511
1949-04-01,0.0,-4.3087994574899,-5.98950455648845,1.17,-2.5764787979793002,78.87705805813769,2.06813469129059
1949-07-01,0.0,-4.30244521917353,-5.98891755608539,1.0433,-2.89101825977842,78.85975224801611,2.09334153215652
1949-10-01,-0.6826465780795751,-4.3165776503053,-6.00465828951498,1.0767,-2.9520802176433,80.0803420439553,2.11021374058669
1950-01-01,0.0,-4.28261292109106,-6.02583005112959,1.1033,-3.3782277276824098,77.6492399663258,2.12976779180208
1950-04-01,2.57556572151222,-4.25793075037682,-6.02034632626609,1.1533,0.343947450772934,75.3244917192725,2.13461146429654
1950-07-01,58.183953930019506,-4.22490660231463,-6.04463437984559,1.22,3.56553700773288,70.7996366315856,2.14315904238919
1950-10-01,39.1116007681661,-4.2100760274145,-5.99227247667466,1.3367,3.4964810103931003,67.7840608292791,2.13018513450416
1951-01-01,1.23672845668745,-4.20073568136206,-5.88697060031532,1.3667,3.53782538851715,64.0966555301473,2.11938974824179
1951-04-01,0.0,-4.1877561741144,-5.78122131256401,1.49,0.43547186599172005,62.2144139213504,2.10377357037358
1951-07-01,0.0,-4.1716117855772,-5.67402902258992,1.6033,-1.90467924418108,60.7629181902099,2.12025748418827
1951-10-01,0.0,-4.17370169671153,-5.62419853548369,1.6099999999999999,-2.27162092804942,59.949493328709,2.13192417714084
