iso,year,log_rgdp_pc,log_gov_pc,log_tfp,tbill,def_gdp,debt_gdp,nx_gdp,mil_delta
GBR,2008,-3.400926738408067,-4.309072166736773,2.523817965972237,4.320000112056732,-4.781479554052161,49.327,-5.850688537058907,0.1605744477577722
GBR,2009,-3.4507599953978403,-4.298897578372585,2.486133396935489,0.5299999844282866,-9.469533497739421,63.193,-5.368500822030415,-0.07972492792593355
GBR,2010,-3.456433543207074,-4.290776522778741,2.5086709151591857,0.4999999888241291,-9.030545312446694,74.273,-6.170965671026147,-0.06895972637678405
GBR,2011,-3.473500375329848,-4.341106169127505,2.5075116972564295,0.4800000227987766,-7.221045229465673,79.975,-6.058128467711163,-0.08122239471425852
GBR,2012,-3.4774227512549722,-4.331606689654294,2.502932369661969,0.31300000846385956,-7.645604770660315,83.161,-6.265935847050724,-0.12549700958666943
GBR,2013,-3.4681573917801707,-4.377137287479914,2.5076249709864427,0.3019999945536256,-5.344434809037695,84.156,-6.282334767490819,-0.10783498214030152
GBR,2014,-3.4450404477213934,-4.367707258085863,2.514381064421955,0.3800000064074993,-5.599036756953822,86.061,-6.451681677808205,-0.13557748774903722
GBR,2015,-3.4223628578391567,-4.369797919109573,2.5285420237611143,0.4399999976158142,-4.4278869705231205,86.72,-6.172347009009864,-0.06441703589779846
GBR,2016,-3.395951957512432,-4.372755218784705,2.5262909889297,0.20239999999999997,-2.954322987070563,86.775,-6.680070989438859,-0.03446210841391939
GBR,2017,-3.3894031979575803,-4.378289228897718,2.539500273281792,0.4123,-1.919611585857524,86.314,-6.709227744603013,-0.005473165058693219
GBR,2018,-3.3839066455509426,-4.378485377740461,2.54105902485458,0.6998,-1.8507804523588318,85.775,-6.5807595728437525,0.04069803626128632
GBR,2019,-3.3706337572581004,-4.369694369336965,2.542691539431093,0.7098,-1.8230528053463806,85.243,-6.215870469471014,0.17778657447800716
ITA,1950,-5.685077062737342,-7.406325295092724,1.2368944684382408,4.71000000834465,-2.5037304764557877,30.19335754040738,-1.2158438681510004,0.019683531593173598
ITA,1951,-5.653345994859543,-7.279662448651472,1.3115782462355658,4.71000000834465,-3.9919734607037216,29.96221388315994,-1.6611401579544172,0.21703084204444067
ITA,1952,-5.5992834957461,-7.170227584448856,1.3361093838938836,4.360000044107437,-4.219293596574099,31.770003119440332,-3.296594642515175,-0.6665636753550421
ITA,1953,-5.515188666984305,-7.271189260758574,1.3814676515625777,4.170000180602074,-2.4107735174341087,32.45557168642726,-2.2639756696451787,0.2046362461690321
ITA,1954,-5.486416089124262,-7.248698809176376,1.3893751558711656,4.170000180602074,-1.9058246910335088,33.965076006819224,-1.2647691312631721,-0.28051427226430503
ITA,1955,-5.424425931203872,-7.150769050690051,1.4349819689670673,4.170000180602074,-2.0968108707606694,33.81815211159262,-1.1632962226515404,-0.08548282711280741
ITA,1956,-5.371530901287035,-7.1509230271522535,1.4563721533438272,4.170000180602074,-1.5121550750430426,32.72693720600204,-1.2903341286725953,-0.08032243030474584
ITA,1957,-5.317513560514515,-7.10201040548152,1.4855441029127505,4.170000180602074,-1.133184666381176,31.993612415734475,-0.9171965724114194,-0.04374024831313683
ITA,1958,-5.2764027862486556,-7.037419896951949,1.5138088396035068,3.8600001484155655,-1.0135206968610722,31.77145816627308,0.4845692005361041,-0.08823942709224175
ITA,1959,-5.221315904627791,-6.887687217685399,1.5503685419034283,3.6299999803304672,-1.031946463794094,32.79761287247822,1.1311216829163149,-0.2400681155995592
ITA,1960,-5.157293907670322,-6.924879434545838,1.5936620434609627,3.6299999803304672,-0.2850818097390799,31.205364776739785,-0.19825482536342956,-0.1399569129807916
ITA,1961,-5.073612489183519,-6.795688759050566,1.6485791124448237,3.6299999803304672,-0.5917983682927894,29.492217836411168,0.07436739944964268,0.05996928155459447
ITA,1962,-5.002003588166702,-6.709284791926675,1.7081669716190802,3.4699998795986176,-0.9792570516092013,28.448674423244462,-0.4085219499042997,0.11959959674920784
ITA,1963,-4.942077953494786,-6.698923883730312,1.7564104972327421,3.5900000482797623,-0.31251342904949275,26.580297960650856,-2.0592514765652847,-0.026082055342665722
ITA,1964,-4.911167771351255,-6.579239019014327,1.774676094281511,3.6299999803304672,-2.436445372486867,26.467477289394147,0.2941127289571189,0.0202242639637511
ITA,1965,-4.8862963486082815,-6.53389314409556,1.830911695080317,3.6299999803304672,-2.7664529285682695,27.546236489631315,2.462585387147811,0.24113981832436204
ITA,1966,-4.83683971765073,-6.45808414956426,1.8784680182022255,3.579999879002571,-1.6433092700101488,32.215459925498635,2.0647449271634932,-0.22097304021820907
ITA,1967,-4.769194088396513,-6.453476823111291,1.9160677643335176,3.579999879002571,-1.0016164092357926,31.797009095375138,1.2930771505827965,-0.11878534845367295
ITA,1968,-4.713107512657289,-6.245794146609414,1.9684868553062713,3.5599999129772186,-4.632420639192328,34.19836551388285,2.304858628498278,-0.22656076494080812
ITA,1969,-4.6382626106893134,-6.102939666132101,2.0176378497031067,5.000000074505806,-6.609309148245646,34.815237160516084,1.7340100293701441,-0.36419077266325495
ITA,1970,-4.569373715585041,-6.136127056469034,2.0575463926809663,7.379999756813049,-4.83125127483956,35.72882316201894,0.39973923191046057,0.1807608929390434
ITA,1971,-4.541838737629358,-5.988469486826183,2.0680498905909177,5.758333206176758,-7.272149252657838,40.387467415077964,0.9551532200737067,0.15220506907817732
ITA,1972,-4.508145688529086,-5.964183442963242,2.089399870753109,5.1750000566244125,-7.008176281818835,45.913834450897305,1.004341045548886,-0.19535860201784194
ITA,1973,-4.429657899656676,-5.85413711460869,2.13212809793386,6.925000250339508,-8.644615774356163,48.75596010736826,-1.7312347875781955,-0.12519064028807048
ITA,1974,-4.377376313166892,-5.821188385980913,2.1640829176781704,14.569999277591705,-7.9539265676944595,48.3308743843726,-3.661874673627213,-0.09539460595339411
ITA,1975,-4.403204452575389,-5.677269486377635,2.127693099945723,10.634999722242355,-11.410334631876351,54.528432885414446,0.26969595511215777,-0.14708849918345446
